area_type,location,size,society,sqrft,bathroom,facing,price_fin
Builtup,3 BHK Apartment  In Lodha Venezia For Sale  In Parel,3 BHK,3 BHK Apartment  In Lodha Venezia For Sale  In Parel,1900 sqft,3,East,5.5 Crores
Builtup,3 BHK Flat  In Royal Residency For Sale  In Parel,3 BHK,3 BHK Flat  In Royal Residency For Sale  In Parel,1545 sqft,3,East,5.85 Crores
Builtup,3 BHK Flat  In Oriental Arcade  For Sale  In Chinchpokli,3 BHK,3 BHK Flat  In Oriental Arcade  For Sale  In Chinchpokli,1108 sqft,2,Don''t Know,3 Crores
Builtup,1 BHK Flat  In Westen Heights Society For Sale  In Parel,1 BHK,1 BHK Flat  In Westen Heights Society For Sale  In Parel,400 sqft,1,Don''t Know,75 Lacs
Builtup,1 BHK Flat  In Apartment For Sale  In Parel,1 BHK,1 BHK Flat  In Apartment For Sale  In Parel,400 sqft,1,Don''t Know,1.2 Crores
Builtup,1 BHK Flat  In Nitya Sukhdham Chs For Sale  In Parel,1 BHK,1 BHK Flat  In Nitya Sukhdham Chs For Sale  In Parel,590 sqft,2,East,1.99 Crores
Builtup,1 BHK Apartment  In Poonam Park Chs For Sale  In Lal Baug,1 BHK,1 BHK Apartment  In Poonam Park Chs For Sale  In Lal Baug,600 sqft,2,North,2.4 Crores
Builtup,1 BHK Flat  In Vikas Finlay Towers For Sale  In Parel,1 BHK,1 BHK Flat  In Vikas Finlay Towers For Sale  In Parel,700 sqft,1,North-East,2 Crores
Builtup,1 BHK Flat  In Lalbaug Cha Raja Co-operative Housing Society For Sale  In Parel,1 BHK,1 BHK Flat  In Lalbaug Cha Raja Co-operative Housing Society For Sale  In Parel,325 sqft,1,East,1.1 Crores
Builtup,"1 BHK Flat  In Sukhakarta Chs  For Sale  In Lal Baug, Parel",1 BHK,"1 BHK Flat  In Sukhakarta Chs  For Sale  In Lal Baug, Parel",425 sqft,1,East,1.19 Crores
Builtup,1 BHK Flat  In Vikas Finlay Towers For Sale  In Parel,1 BHK,1 BHK Flat  In Vikas Finlay Towers For Sale  In Parel,500 sqft,1,Don''t Know,2 Crores
Builtup,2 BHK Flat  In Royal Residency For Sale  In Parel,2 BHK,2 BHK Flat  In Royal Residency For Sale  In Parel,1125 sqft,2,South,5.25 Crores
Builtup,2 BHK Flat  In Royal Residency  For Sale  In Lalbaug,2 BHK,2 BHK Flat  In Royal Residency  For Sale  In Lalbaug,1125 sqft,2,North,4.6 Crores
Builtup,"2 BHK Flat  In K Raj Residency For Sale  In Lal Baug, Parel",2 BHK,"2 BHK Flat  In K Raj Residency For Sale  In Lal Baug, Parel",895 sqft,2,North,2.9 Crores
Builtup,2 BHK Apartment  In Vardhman Estate For Sale  In Lal Baug,2 BHK,2 BHK Apartment  In Vardhman Estate For Sale  In Lal Baug,1025 sqft,2,East,4 Crores
Builtup,3 BHK Flat  In Oriental Arcade  For Sale  In Chinchpokli,3 BHK,3 BHK Flat  In Oriental Arcade  For Sale  In Chinchpokli,1108 sqft,2,Don''t Know,3 Crores
Builtup,"1 BHK Flat  In Sukhakarta Chs  For Sale  In Lal Baug, Parel",1 BHK,"1 BHK Flat  In Sukhakarta Chs  For Sale  In Lal Baug, Parel",425 sqft,1,East,1.19 Crores
Builtup,1 BHK Flat  In Apartment For Sale  In Parel,1 BHK,1 BHK Flat  In Apartment For Sale  In Parel,400 sqft,1,Don''t Know,1.2 Crores
Builtup,2 BHK Apartment  In Vardhman Estate For Sale  In Lal Baug,2 BHK,2 BHK Apartment  In Vardhman Estate For Sale  In Lal Baug,1025 sqft,2,East,4 Crores
Builtup,2 BHK Flat  In Royal Residency For Sale  In Parel,2 BHK,2 BHK Flat  In Royal Residency For Sale  In Parel,1125 sqft,2,South,5.25 Crores
Builtup,1 BHK Apartment  In Poonam Park Chs For Sale  In Lal Baug,1 BHK,1 BHK Apartment  In Poonam Park Chs For Sale  In Lal Baug,600 sqft,2,North,2.4 Crores
Builtup,1 BHK Flat  In Westen Heights Society For Sale  In Parel,1 BHK,1 BHK Flat  In Westen Heights Society For Sale  In Parel,400 sqft,1,Don''t Know,75 Lacs
Builtup,2 BHK Flat  In Royal Residency  For Sale  In Lalbaug,2 BHK,2 BHK Flat  In Royal Residency  For Sale  In Lalbaug,1125 sqft,2,North,4.6 Crores
Builtup,3 BHK Flat  In Royal Residency For Sale  In Parel,3 BHK,3 BHK Flat  In Royal Residency For Sale  In Parel,1545 sqft,3,East,5.85 Crores
Builtup,1 BHK Flat  In Nitya Sukhdham Chs For Sale  In Parel,1 BHK,1 BHK Flat  In Nitya Sukhdham Chs For Sale  In Parel,590 sqft,2,East,1.99 Crores
Builtup,1 BHK Flat  In Lalbaug Cha Raja Co-operative Housing Society For Sale  In Parel,1 BHK,1 BHK Flat  In Lalbaug Cha Raja Co-operative Housing Society For Sale  In Parel,325 sqft,1,East,1.1 Crores
Builtup,3 BHK Apartment  In Lodha Venezia For Sale  In Parel,3 BHK,3 BHK Apartment  In Lodha Venezia For Sale  In Parel,1900 sqft,3,East,5.5 Crores
Builtup,"2 BHK Flat  In K Raj Residency For Sale  In Lal Baug, Parel",2 BHK,"2 BHK Flat  In K Raj Residency For Sale  In Lal Baug, Parel",895 sqft,2,North,2.9 Crores
Builtup,"2 BHK Apartment  In Goodtime Real Estate Development Salsette 27 For Sale  In Byculla East,",2 BHK,"2 BHK Apartment  In Goodtime Real Estate Development Salsette 27 For Sale  In Byculla East,",1300 sqft,2,West,4.5 Crores
Builtup,1 BHK Flat  In Sukhakarta Cooperative Housing Society Limited For Sale  In Lal Baug,1 BHK,1 BHK Flat  In Sukhakarta Cooperative Housing Society Limited For Sale  In Lal Baug,400 sqft,1,East,1.2 Crores
Builtup,3 BHK Apartment  In Gundecha Gardens For Sale  In Lal Baug,3 BHK,3 BHK Apartment  In Gundecha Gardens For Sale  In Lal Baug,1295 sqft,3,North,6.15 Crores
Builtup,1 BHK Apartment  In Veer Mahal Chs For Sale  In Parel,1 BHK,1 BHK Apartment  In Veer Mahal Chs For Sale  In Parel,439 sqft,1,West,1.3 Crores
Builtup,1 BHK Flat  In Sukhkartha Cooperative Housing Society For Sale  In Sukhakarta Cooperative Society Limited,1 BHK,1 BHK Flat  In Sukhkartha Cooperative Housing Society For Sale  In Sukhakarta Cooperative Society Limited,360 sqft,1,South-East,85 Lacs
Builtup,2 BHK Apartment  In Anupam Apartment Lalbaug For Sale  In Lalbaug,2 BHK,2 BHK Apartment  In Anupam Apartment Lalbaug For Sale  In Lalbaug,750 sqft,1,East,2.95 Crores
Builtup,1 BHK Flat  In Vignharta Chs For Sale  In Parel,1 BHK,1 BHK Flat  In Vignharta Chs For Sale  In Parel,550 sqft,1,Don''t Know,1.7 Crores
Builtup,2 BHK Apartment  In Kalpataru Habitat Mumbai For Sale  In Parel,2 BHK,2 BHK Apartment  In Kalpataru Habitat Mumbai For Sale  In Parel,1305 sqft,2,North-West,5.25 Crores
Builtup,1 BHK Flat  In Vikas Finlay Towers For Sale  In Parel,1 BHK,1 BHK Flat  In Vikas Finlay Towers For Sale  In Parel,500 sqft,1,Don''t Know,2 Crores
Builtup,1 BHK Flat  In Vikas Finlay Towers For Sale  In Parel,1 BHK,1 BHK Flat  In Vikas Finlay Towers For Sale  In Parel,700 sqft,1,North-East,2 Crores
Builtup,1 BHK Flat  In Pearl Hieght For Sale  In  Parel,1 BHK,1 BHK Flat  In Pearl Hieght For Sale  In  Parel,381 sqft,2,North-West,1.2 Crores
Builtup,"1 BHK Flat  In Sukhakarta Chs  Parel. For Sale  In Gundecha Road, Parel",1 BHK,"1 BHK Flat  In Sukhakarta Chs  Parel. For Sale  In Gundecha Road, Parel",360 sqft,1,East,85 Lacs
Builtup,4 BHK Flat  In Kohinoor Altissimo For Sale  In Dadar West,4 BHK,4 BHK Flat  In Kohinoor Altissimo For Sale  In Dadar West,2714 sqft,4,East,10.16 Crores
Builtup,3 BHK Apartment  In Salvation Apartment For Sale  In Dadar West,3 BHK,3 BHK Apartment  In Salvation Apartment For Sale  In Dadar West,1121 sqft,2,West,4 Crores
Builtup,3 BHK Flat  In Rajgir Court For Sale  In Dadar East,3 BHK,3 BHK Flat  In Rajgir Court For Sale  In Dadar East,1225 sqft,3,North-East,5.8 Crores
Builtup,3 BHK Flat  In Suraj The Palette For Sale  In Dadar West,3 BHK,3 BHK Flat  In Suraj The Palette For Sale  In Dadar West,1580 sqft,3,North,7.07 Crores
Builtup,3 BHK Flat  In Kohinoor Altissimo For Sale  In Dadar West,3 BHK,3 BHK Flat  In Kohinoor Altissimo For Sale  In Dadar West,2200 sqft,3,East,8.75 Crores
Builtup,3 BHK Flat  In Spenta Passcode Legasea For Sale  In Matunga West,3 BHK,3 BHK Flat  In Spenta Passcode Legasea For Sale  In Matunga West,1630 sqft,3,East,5.64 Crores
Builtup,1 BHK Flat  In Emerald Residency For Sale  In Dadar West,1 BHK,1 BHK Flat  In Emerald Residency For Sale  In Dadar West,535 sqft,1,North-East,2.05 Crores
